index,disease_name,supplement name,supplement image,buy link
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://dujjhct8zer0r.cloudfront.net/media/prod_image/a2e9d5da247ced1ad25da76ce929a4da-01-30-21-11-01-19.webp?scale.height=400,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://cdn.shopify.com/s/files/1/0722/2059/files/bayer-nativo-fungicide-file-9643.webp?v=1737473429&width=640,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://kisankavikas.com/wp-content/uploads/2024/07/download-11.jpeg,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://cdn.shopify.com/s/files/1/0722/2059/files/omite-insecticide-file-5289.webp?v=1737471770,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://rukminim1.flixcart.com/image/416/416/k3xcdjk0/soil-manure/y/f/j/100-propineb-70-wp-fungicide-for-plants-diesese-control-propi-original-imafmxg3jghhdyt6.jpeg?q=70,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://krushikendra.com/image/cache/catalog/Sygenta/syngenta-amistar-top-fungicides-500x500-800x800.jpg,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRmHRAqOUGXt76NPfOMXrUVRvDt8gRYd3-HTexGYI0d4PNmDuLXbfTchIRipVD-hx1wob7hHyVTbmyS85fTcADpBUMezetO&usqp=CAE,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://casadeamor.in/cdn/shop/files/tomatofertilizer-900gm.jpg?v=1707295552&width=823,https://www.kissanghar.pk/products?category=Crop-Nutrition-/-Plant-Growth-Regulators
